id_revision,vehiculo,tipo_vehiculo,presion_bar,estado_presion
REV-0086,KIA Sportage 2023,Pickup,1.56,Baja
REV-0088,Chevrolet Silverado 2024,Sedán,2.54,Normal
REV-0089,KIA Sportage 2023,Camioneta,2.85,Alta
REV-0090,Toyota Hilux 2024,Sedán,2.93,Alta
REV-0091,Honda Civic 2022,Sedán,3.52,Alta
REV-0092,Honda Civic 2022,Deportivo,1.57,Baja
REV-0093,Honda CR-V 2023,Lujo,1.58,Baja
REV-0094,KIA Sportage 2023,Sedán,2.04,Baja
REV-0095,KIA Sportage 2023,Pickup,2.75,Alta
REV-0096,Nissan Frontier 2023,Lujo,1.82,Baja
REV-0097,Suzuki Vitara 2023,Camioneta,3.36,Alta
REV-0098,Jeep Wrangler 2022,Lujo,1.32,Muy baja
REV-0099,Toyota RAV4 2024,Camioneta,2.82,Alta
REV-0100,Honda Civic 2022,Compacto,1.77,Baja
REV-0101,Subaru Outback 2024,Minivan,3.43,Alta
REV-0102,Mazda 3 2024,Camioneta,2.38,Normal
REV-0103,BMW Serie 3 2024,Pickup,1.68,Baja
REV-0104,Audi A4 2024,Pickup,2.33,Normal
REV-0105,VW Tiguan 2024,Deportivo,3.32,Alta
REV-0106,RAM 1500 2023,Minivan,3.68,Peligrosa
REV-0107,Honda CR-V 2023,Deportivo,2.91,Alta
REV-0108,Mazda 3 2024,Sedán,1.93,Baja
REV-0109,VW Tiguan 2024,Compacto,3.06,Alta
REV-0110,Mazda 3 2024,SUV,2.31,Normal
REV-0111,Mazda 3 2024,Compacto,3.02,Alta
REV-0112,Hyundai Tucson 2024,Deportivo,3.38,Alta
REV-0113,Ford Escape 2023,Pickup,3.49,Alta
REV-0114,Audi A4 2024,Camioneta,1.85,Baja
REV-0115,VW Jetta 2023,Pickup,3.51,Alta
REV-0116,Nissan Sentra 2024,Minivan,2.97,Alta
REV-0117,RAM 1500 2023,Minivan,2.56,Normal
REV-0118,RAM 1500 2023,Pickup,1.25,Muy baja
REV-0119,RAM 1500 2023,Compacto,1.84,Baja
REV-0120,Mercedes C300 2023,Sedán,2.02,Baja
REV-0121,BMW Serie 3 2024,SUV,3.47,Alta
REV-0123,Mazda 3 2024,Lujo,2.65,Normal
REV-0124,Honda Civic 2022,Camioneta,1.54,Baja
REV-0125,Toyota Hilux 2024,Sedán,3.07,Alta
REV-0126,Subaru Outback 2024,SUV,3.75,Peligrosa
REV-0127,Ford Escape 2023,Compacto,2.65,Normal
REV-0128,Mercedes C300 2023,Camioneta,3.48,Alta
REV-0129,Mercedes C300 2023,Sedán,2.18,Normal
REV-0130,Jeep Wrangler 2022,Minivan,2.66,Normal
REV-0131,Toyota Hilux 2024,Pickup,1.31,Muy baja
REV-0132,RAM 1500 2023,Pickup,2.42,Normal
REV-0133,Chevrolet Aveo 2022,SUV,3.31,Alta
REV-0134,VW Jetta 2023,Pickup,1.91,Baja
REV-0136,BMW Serie 3 2024,Lujo,2.04,Baja
REV-0138,Chevrolet Aveo 2022,Pickup,3.03,Alta
REV-0139,Jeep Wrangler 2022,SUV,1.36,Muy baja
REV-0140,Hyundai Tucson 2024,Camioneta,2.32,Normal
REV-0141,Mazda 3 2024,Compacto,1.57,Baja
REV-0142,KIA Sportage 2023,Lujo,2.46,Normal
REV-0144,Subaru Outback 2024,Camioneta,1.26,Muy baja
REV-0145,Chevrolet Silverado 2024,Camioneta,2.70,Normal
REV-0146,Honda Civic 2022,Pickup,2.01,Baja
REV-0147,BMW Serie 3 2024,Compacto,2.81,Alta
REV-0148,Mazda CX-5 2023,SUV,3.79,Peligrosa
REV-0149,BMW Serie 3 2024,Lujo,2.51,Normal
REV-0150,Mercedes C300 2023,Minivan,2.91,Alta
REV-0151,Honda CR-V 2023,Camioneta,3.11,Alta
REV-0152,Toyota RAV4 2024,SUV,3.39,Alta
REV-0153,Honda CR-V 2023,Pickup,3.22,Alta
REV-0154,Nissan Sentra 2024,Minivan,3.72,Peligrosa
REV-0155,Nissan Sentra 2024,Pickup,1.79,Baja
REV-0156,VW Jetta 2023,Camioneta,3.74,Peligrosa
REV-0157,Jeep Wrangler 2022,SUV,1.44,Muy baja
REV-0158,Suzuki Vitara 2023,SUV,2.85,Alta
REV-0159,Nissan Sentra 2024,Compacto,1.27,Muy baja
REV-0160,Toyota Hilux 2024,Deportivo,2.44,Normal
REV-0161,Toyota Hilux 2024,Deportivo,3.61,Alta
REV-0162,Toyota Hilux 2024,Camioneta,1.70,Baja
REV-0164,Jeep Wrangler 2022,Minivan,1.96,Baja
REV-0165,Subaru Outback 2024,Lujo,2.00,Baja
REV-0166,Mercedes C300 2023,Minivan,3.16,Alta
REV-0167,Toyota RAV4 2024,Deportivo,2.14,Normal
REV-0168,Nissan Frontier 2023,Compacto,2.10,Normal
REV-0169,Ford Escape 2023,Sedán,3.13,Alta
REV-0170,Toyota RAV4 2024,Sedán,1.22,Muy baja
REV-0171,Toyota Corolla 2023,Pickup,1.36,Muy baja
REV-0172,Audi A4 2024,Compacto,3.31,Alta
REV-0173,BMW Serie 3 2024,Sedán,2.49,Normal
REV-0174,Jeep Wrangler 2022,Deportivo,3.67,Peligrosa
REV-0176,Honda Civic 2022,Pickup,3.68,Peligrosa
REV-0177,Subaru Outback 2024,Deportivo,3.14,Alta
REV-0178,Toyota RAV4 2024,Camioneta,3.23,Alta
REV-0179,KIA Sportage 2023,SUV,2.40,Normal
REV-0180,RAM 1500 2023,Lujo,2.60,Normal
REV-0181,Suzuki Vitara 2023,Compacto,3.60,Alta
REV-0182,BMW Serie 3 2024,SUV,3.30,Alta
REV-0183,Subaru Outback 2024,Sedán,3.18,Alta
REV-0184,Toyota Corolla 2023,Lujo,2.63,Normal
REV-0185,BMW Serie 3 2024,Deportivo,2.74,Alta
REV-0186,Toyota Corolla 2023,Deportivo,2.18,Normal
REV-0187,Suzuki Vitara 2023,Compacto,1.31,Muy baja
REV-0188,Honda CR-V 2023,Lujo,3.36,Alta
REV-0189,Chevrolet Silverado 2024,SUV,1.90,Baja
REV-0190,Chevrolet Aveo 2022,Camioneta,2.78,Alta
REV-0191,Ford Escape 2023,Lujo,2.14,Normal
REV-0192,Mazda 3 2024,Compacto,2.37,Normal
REV-0193,Jeep Wrangler 2022,Compacto,3.23,Alta
REV-0194,VW Jetta 2023,Pickup,3.09,Alta
REV-0195,KIA Sportage 2023,Camioneta,2.04,Baja
REV-0196,BMW Serie 3 2024,Sedán,2.36,Normal
REV-0197,VW Tiguan 2024,Compacto,2.46,Normal
REV-0198,Hyundai Tucson 2024,Compacto,3.27,Alta
REV-0199,Chevrolet Silverado 2024,Lujo,3.29,Alta
REV-0200,Mazda 3 2024,Camioneta,2.41,Normal
REV-0201,Honda CR-V 2023,Lujo,2.29,Normal
REV-0203,Subaru Outback 2024,Camioneta,3.52,Alta
REV-0204,Nissan Sentra 2024,Compacto,2.56,Normal
REV-0205,Toyota Corolla 2023,SUV,2.29,Normal
REV-0206,VW Tiguan 2024,Lujo,2.77,Alta
REV-0207,Mazda CX-5 2023,Compacto,1.47,Muy baja
REV-0208,Hyundai Tucson 2024,Pickup,1.37,Muy baja
REV-0209,Ford Escape 2023,Camioneta,2.80,Alta
REV-0210,VW Jetta 2023,Minivan,3.58,Alta
REV-0211,RAM 1500 2023,Deportivo,2.14,Normal
REV-0212,Hyundai Tucson 2024,Compacto,2.31,Normal
REV-0213,Mazda 3 2024,Sedán,3.11,Alta
REV-0214,Jeep Wrangler 2022,Deportivo,1.82,Baja
REV-0215,VW Tiguan 2024,SUV,3.77,Peligrosa
REV-0216,Chevrolet Silverado 2024,Camioneta,1.81,Baja
REV-0217,Mazda 3 2024,Camioneta,2.56,Normal
REV-0218,Subaru Outback 2024,SUV,2.06,Baja
REV-0219,Subaru Outback 2024,Compacto,2.97,Alta
REV-0220,Toyota Corolla 2023,Camioneta,3.48,Alta
REV-0221,Chevrolet Silverado 2024,SUV,3.74,Peligrosa
REV-0222,Nissan Frontier 2023,Minivan,1.59,Baja
REV-0223,Jeep Wrangler 2022,Pickup,1.59,Baja
REV-0225,Toyota Hilux 2024,SUV,1.82,Baja
REV-0226,Toyota RAV4 2024,Camioneta,2.91,Alta
REV-0227,Suzuki Vitara 2023,Sedán,2.48,Normal
REV-0228,Honda CR-V 2023,Minivan,2.18,Normal
REV-0229,KIA Sportage 2023,Sedán,2.60,Normal
REV-0230,RAM 1500 2023,Lujo,3.47,Alta
REV-0231,Ford Ranger 2023,Lujo,3.31,Alta
REV-0232,BMW Serie 3 2024,Pickup,2.35,Normal
REV-0234,Ford Escape 2023,Camioneta,1.70,Baja
REV-0235,Nissan Sentra 2024,Compacto,2.53,Normal
REV-0236,Ford Ranger 2023,Camioneta,1.70,Baja
REV-0237,Honda CR-V 2023,Pickup,3.02,Alta
REV-0238,Audi A4 2024,Minivan,2.80,Alta
REV-0239,Mercedes C300 2023,Minivan,3.48,Alta
REV-0240,Honda CR-V 2023,Minivan,2.11,Normal
REV-0241,BMW Serie 3 2024,Compacto,2.84,Alta
REV-0243,Ford Escape 2023,Deportivo,2.89,Alta
REV-0245,Toyota RAV4 2024,Lujo,3.13,Alta
REV-0246,Toyota RAV4 2024,Compacto,3.16,Alta
REV-0247,Subaru Outback 2024,Pickup,2.86,Alta
REV-0248,Suzuki Vitara 2023,Lujo,3.70,Peligrosa
REV-0249,Mazda 3 2024,Compacto,2.36,Normal
REV-0250,Toyota RAV4 2024,Lujo,1.35,Muy baja
REV-0251,Hyundai Tucson 2024,SUV,2.53,Normal
REV-0252,Jeep Wrangler 2022,Minivan,2.95,Alta
REV-0253,Hyundai Tucson 2024,Deportivo,2.84,Alta
REV-0254,VW Tiguan 2024,Camioneta,3.02,Alta
REV-0255,Mazda 3 2024,Deportivo,1.72,Baja
REV-0256,KIA Sportage 2023,Compacto,3.20,Alta
REV-0257,Toyota Hilux 2024,Compacto,1.53,Baja
REV-0258,Honda Civic 2022,Camioneta,3.18,Alta
REV-0259,VW Jetta 2023,Lujo,1.41,Muy baja
REV-0260,Hyundai Tucson 2024,SUV,1.82,Baja
REV-0261,Toyota Hilux 2024,Deportivo,1.77,Baja
REV-0262,Subaru Outback 2024,Sedán,1.87,Baja
REV-0263,VW Tiguan 2024,Lujo,3.78,Peligrosa
REV-0264,Toyota Corolla 2023,Compacto,3.26,Alta
REV-0265,Toyota Corolla 2023,Camioneta,2.78,Alta
REV-0266,Mazda CX-5 2023,Pickup,1.88,Baja
REV-0267,Toyota Corolla 2023,Sedán,1.56,Baja
REV-0268,Mercedes C300 2023,Lujo,3.55,Alta
REV-0269,Ford Ranger 2023,Minivan,2.63,Normal
REV-0270,Chevrolet Silverado 2024,Pickup,2.07,Normal
REV-0271,Audi A4 2024,Compacto,2.52,Normal
REV-0272,Chevrolet Aveo 2022,Sedán,3.06,Alta
REV-0273,KIA Sportage 2023,Camioneta,2.61,Normal
REV-0274,Toyota RAV4 2024,Pickup,3.52,Alta
REV-0275,RAM 1500 2023,Deportivo,1.46,Muy baja
REV-0276,Mazda 3 2024,Camioneta,2.15,Normal
REV-0277,BMW Serie 3 2024,Deportivo,1.54,Baja
REV-0278,VW Tiguan 2024,Camioneta,3.32,Alta
REV-0279,Ford Ranger 2023,Lujo,1.93,Baja
REV-0280,Honda CR-V 2023,Minivan,2.92,Alta
REV-0281,Toyota Hilux 2024,Minivan,1.98,Baja
REV-0283,KIA Sportage 2023,Lujo,1.65,Baja
REV-0284,VW Jetta 2023,SUV,2.99,Alta
REV-0285,Chevrolet Aveo 2022,SUV,2.05,Baja
REV-0286,Toyota RAV4 2024,Compacto,1.61,Baja
REV-0287,Mazda 3 2024,Pickup,3.03,Alta
REV-0288,Mazda CX-5 2023,Lujo,3.14,Alta
REV-0290,Honda Civic 2022,Lujo,1.81,Baja
REV-0291,Nissan Frontier 2023,Minivan,2.40,Normal
REV-0292,Mercedes C300 2023,SUV,1.36,Muy baja
REV-0293,Ford Escape 2023,SUV,3.35,Alta
REV-0294,KIA Sportage 2023,Sedán,1.66,Baja
REV-0295,Jeep Wrangler 2022,Sedán,2.31,Normal
REV-0296,Chevrolet Silverado 2024,SUV,2.42,Normal
REV-0298,Honda CR-V 2023,Pickup,2.60,Normal
REV-0299,Ford Escape 2023,Pickup,3.18,Alta
REV-0300,Ford Escape 2023,Pickup,2.62,Normal
REV-0301,VW Jetta 2023,SUV,2.32,Normal
REV-0302,Hyundai Tucson 2024,SUV,3.62,Peligrosa
REV-0303,VW Jetta 2023,Compacto,2.56,Normal
REV-0304,Hyundai Tucson 2024,Pickup,1.33,Muy baja
REV-0305,Toyota RAV4 2024,SUV,1.96,Baja
REV-0306,Honda Civic 2022,Deportivo,1.70,Baja
REV-0307,BMW Serie 3 2024,Pickup,1.70,Baja
REV-0308,Audi A4 2024,Sedán,2.14,Normal
REV-0309,Jeep Wrangler 2022,Camioneta,2.36,Normal
REV-0311,Toyota RAV4 2024,Compacto,2.10,Normal
REV-0312,VW Jetta 2023,Lujo,3.72,Peligrosa
REV-0314,Hyundai Tucson 2024,SUV,3.40,Alta
REV-0315,Honda CR-V 2023,Minivan,2.64,Normal
REV-0317,Jeep Wrangler 2022,Minivan,3.33,Alta
REV-0318,Subaru Outback 2024,Compacto,2.78,Alta
REV-0319,Toyota Hilux 2024,Minivan,2.57,Normal
REV-0320,Mercedes C300 2023,Deportivo,3.39,Alta
REV-0322,BMW Serie 3 2024,Lujo,2.32,Normal
REV-0323,Suzuki Vitara 2023,Sedán,1.66,Baja
REV-0324,Ford Ranger 2023,Pickup,2.21,Normal
REV-0325,Chevrolet Aveo 2022,Pickup,3.38,Alta
REV-0326,Audi A4 2024,Minivan,2.77,Alta
REV-0327,VW Jetta 2023,Minivan,1.63,Baja
REV-0328,VW Jetta 2023,Camioneta,1.75,Baja
REV-0329,Hyundai Tucson 2024,SUV,3.72,Peligrosa
REV-0330,Jeep Wrangler 2022,Camioneta,2.91,Alta
REV-0331,RAM 1500 2023,Pickup,2.89,Alta
REV-0332,Nissan Frontier 2023,Lujo,3.17,Alta
REV-0333,Audi A4 2024,Camioneta,2.81,Alta
REV-0334,Mercedes C300 2023,Sedán,1.94,Baja
REV-0335,Jeep Wrangler 2022,Lujo,3.12,Alta
REV-0336,VW Jetta 2023,Lujo,3.64,Peligrosa
REV-0337,VW Tiguan 2024,Minivan,2.97,Alta
REV-0339,Nissan Sentra 2024,Sedán,2.28,Normal
REV-0340,BMW Serie 3 2024,Compacto,2.16,Normal
REV-0341,RAM 1500 2023,Pickup,1.57,Baja
REV-0342,Ford Escape 2023,Camioneta,1.64,Baja
REV-0343,Suzuki Vitara 2023,Compacto,1.80,Baja
REV-0344,Mercedes C300 2023,Deportivo,2.64,Normal
REV-0346,Ford Escape 2023,Deportivo,3.01,Alta
REV-0347,VW Jetta 2023,Compacto,2.95,Alta
REV-0348,Toyota Corolla 2023,Sedán,2.25,Normal
REV-0349,Toyota RAV4 2024,Pickup,1.87,Baja
REV-0350,KIA Sportage 2023,Sedán,1.42,Muy baja
REV-0351,Mazda 3 2024,Minivan,1.78,Baja
REV-0352,Chevrolet Silverado 2024,Pickup,2.34,Normal
REV-0353,BMW Serie 3 2024,Compacto,3.53,Alta
REV-0354,VW Jetta 2023,Lujo,2.15,Normal
REV-0355,Honda Civic 2022,Lujo,2.89,Alta
REV-0356,Toyota Corolla 2023,Lujo,3.48,Alta
REV-0357,Toyota Corolla 2023,Sedán,2.60,Normal
REV-0358,Toyota Hilux 2024,Minivan,2.86,Alta
REV-0359,Suzuki Vitara 2023,Sedán,2.54,Normal
REV-0360,Mercedes C300 2023,Camioneta,1.83,Baja
REV-0361,Nissan Frontier 2023,Minivan,1.84,Baja
REV-0362,Toyota RAV4 2024,Compacto,1.70,Baja
REV-0363,Jeep Wrangler 2022,Compacto,1.99,Baja
REV-0364,Honda Civic 2022,Deportivo,1.53,Baja
REV-0365,Subaru Outback 2024,Sedán,2.92,Alta
REV-0366,Toyota Hilux 2024,Lujo,1.32,Muy baja
REV-0367,Ford Escape 2023,Camioneta,2.49,Normal
REV-0368,Mazda 3 2024,Camioneta,1.82,Baja
REV-0369,Toyota Corolla 2023,Deportivo,3.45,Alta
REV-0370,Chevrolet Silverado 2024,Minivan,3.44,Alta
REV-0371,Audi A4 2024,SUV,1.93,Baja
REV-0372,Subaru Outback 2024,Lujo,1.45,Muy baja
REV-0373,Ford Ranger 2023,Pickup,1.33,Muy baja
REV-0374,VW Jetta 2023,Deportivo,3.31,Alta
REV-0375,BMW Serie 3 2024,Camioneta,3.34,Alta
REV-0376,Ford Ranger 2023,Lujo,1.27,Muy baja
REV-0377,Ford Ranger 2023,Lujo,1.91,Baja
REV-0380,Subaru Outback 2024,Camioneta,3.02,Alta
REV-0381,Ford Ranger 2023,Lujo,3.02,Alta
REV-0382,Jeep Wrangler 2022,Pickup,2.96,Alta
REV-0383,Mazda 3 2024,Camioneta,3.08,Alta
REV-0384,KIA Sportage 2023,SUV,2.12,Normal
REV-0385,Honda Civic 2022,Camioneta,1.75,Baja
REV-0386,Audi A4 2024,Lujo,3.52,Alta
REV-0387,RAM 1500 2023,Minivan,3.58,Alta
REV-0390,Ford Ranger 2023,Pickup,3.34,Alta
REV-0391,Chevrolet Silverado 2024,Deportivo,1.51,Muy baja
REV-0392,Suzuki Vitara 2023,SUV,2.23,Normal
REV-0393,KIA Sportage 2023,SUV,3.71,Peligrosa
REV-0394,Toyota RAV4 2024,Lujo,2.78,Alta
REV-0396,Jeep Wrangler 2022,Compacto,2.55,Normal
REV-0398,Toyota RAV4 2024,Compacto,3.40,Alta
REV-0399,Jeep Wrangler 2022,Pickup,1.36,Muy baja
REV-0400,Toyota Corolla 2023,Lujo,2.11,Normal
REV-0401,Jeep Wrangler 2022,Pickup,3.19,Alta
REV-0402,Toyota RAV4 2024,Pickup,1.94,Baja
REV-0403,Chevrolet Aveo 2022,Pickup,3.61,Alta
REV-0404,VW Jetta 2023,Lujo,2.06,Baja
REV-0405,Mercedes C300 2023,Pickup,1.34,Muy baja
REV-0406,Honda Civic 2022,Compacto,2.77,Alta
REV-0407,Mercedes C300 2023,Lujo,2.90,Alta
REV-0408,Chevrolet Aveo 2022,Pickup,1.27,Muy baja
REV-0410,Suzuki Vitara 2023,Deportivo,2.45,Normal
REV-0413,RAM 1500 2023,Sedán,3.45,Alta
REV-0414,VW Tiguan 2024,Deportivo,3.47,Alta
REV-0415,Nissan Frontier 2023,Pickup,3.45,Alta
REV-0417,Toyota RAV4 2024,SUV,3.20,Alta
REV-0418,Honda Civic 2022,Camioneta,2.47,Normal
REV-0419,Nissan Frontier 2023,Camioneta,2.80,Alta
REV-0420,Nissan Sentra 2024,Camioneta,1.27,Muy baja
REV-0421,Honda CR-V 2023,Minivan,2.96,Alta
REV-0422,Mazda 3 2024,Lujo,2.43,Normal
REV-0423,Nissan Sentra 2024,Sedán,1.55,Baja
REV-0424,Chevrolet Aveo 2022,Sedán,2.54,Normal
REV-0425,Suzuki Vitara 2023,Deportivo,1.26,Muy baja
REV-0426,KIA Sportage 2023,SUV,2.55,Normal
REV-0427,Chevrolet Silverado 2024,Minivan,3.61,Alta
REV-0429,Audi A4 2024,Camioneta,2.19,Normal
REV-0430,Nissan Frontier 2023,Pickup,2.82,Alta
REV-0431,Mercedes C300 2023,Lujo,3.19,Alta
REV-0432,BMW Serie 3 2024,Camioneta,1.95,Baja
REV-0433,Hyundai Tucson 2024,Minivan,2.51,Normal
REV-0434,VW Jetta 2023,Compacto,3.52,Alta
REV-0435,Jeep Wrangler 2022,Pickup,3.49,Alta
REV-0436,Hyundai Tucson 2024,Deportivo,2.45,Normal
REV-0437,Nissan Sentra 2024,Lujo,3.43,Alta
REV-0438,Honda CR-V 2023,SUV,3.78,Peligrosa
REV-0439,Nissan Frontier 2023,Camioneta,2.11,Normal
REV-0440,Honda Civic 2022,Pickup,1.63,Baja
REV-0441,Ford Escape 2023,Sedán,3.45,Alta
REV-0442,Toyota Corolla 2023,Sedán,2.20,Normal
REV-0443,VW Tiguan 2024,Lujo,3.70,Peligrosa
REV-0444,Honda CR-V 2023,SUV,2.24,Normal
REV-0446,Jeep Wrangler 2022,Deportivo,3.50,Alta
REV-0447,Chevrolet Aveo 2022,Deportivo,1.60,Baja
REV-0448,Honda Civic 2022,Pickup,3.16,Alta
REV-0449,Hyundai Tucson 2024,SUV,3.00,Alta
REV-0450,Ford Ranger 2023,Compacto,2.30,Normal
REV-0451,Honda Civic 2022,Compacto,1.73,Baja
REV-0452,Mazda 3 2024,Pickup,2.18,Normal
REV-0453,VW Tiguan 2024,Deportivo,1.96,Baja
REV-0454,Honda Civic 2022,Lujo,1.82,Baja
REV-0455,Ford Ranger 2023,Pickup,1.61,Baja
REV-0456,Honda CR-V 2023,Compacto,1.70,Baja
REV-0458,Mercedes C300 2023,Sedán,2.23,Normal
REV-0459,Toyota Hilux 2024,Deportivo,1.67,Baja
REV-0460,Suzuki Vitara 2023,Pickup,3.07,Alta
REV-0462,Suzuki Vitara 2023,SUV,2.86,Alta
REV-0463,Toyota Corolla 2023,Pickup,2.17,Normal
REV-0464,Nissan Frontier 2023,Compacto,3.72,Peligrosa
REV-0465,BMW Serie 3 2024,SUV,2.57,Normal
REV-0466,Nissan Sentra 2024,Camioneta,2.66,Normal
REV-0467,RAM 1500 2023,Minivan,2.45,Normal
REV-0468,RAM 1500 2023,Pickup,1.47,Muy baja
REV-0469,Hyundai Tucson 2024,SUV,2.21,Normal
REV-0470,Toyota Corolla 2023,Sedán,1.86,Baja
REV-0471,VW Tiguan 2024,Deportivo,2.42,Normal
REV-0472,Toyota RAV4 2024,Deportivo,2.82,Alta
REV-0473,KIA Sportage 2023,Deportivo,2.05,Baja
REV-0474,Chevrolet Aveo 2022,Deportivo,2.55,Normal
REV-0475,Chevrolet Aveo 2022,Camioneta,1.59,Baja
REV-0476,Honda CR-V 2023,Compacto,2.39,Normal
REV-0477,Nissan Sentra 2024,Pickup,2.79,Alta
REV-0478,VW Tiguan 2024,Sedán,1.70,Baja
REV-0479,Jeep Wrangler 2022,Minivan,3.09,Alta
REV-0480,Honda Civic 2022,Sedán,3.16,Alta
REV-0481,Nissan Sentra 2024,Camioneta,2.46,Normal
REV-0482,Chevrolet Silverado 2024,SUV,2.74,Alta
REV-0483,Chevrolet Aveo 2022,Camioneta,1.28,Muy baja
REV-0484,Jeep Wrangler 2022,Camioneta,3.16,Alta
REV-0485,Subaru Outback 2024,Lujo,2.12,Normal
REV-0486,Mercedes C300 2023,Deportivo,1.41,Muy baja
REV-0487,Jeep Wrangler 2022,Minivan,3.46,Alta
REV-0488,Audi A4 2024,Minivan,1.47,Muy baja
REV-0489,Chevrolet Silverado 2024,Lujo,1.23,Muy baja
REV-0490,Nissan Frontier 2023,Lujo,2.79,Alta
REV-0491,VW Tiguan 2024,Deportivo,1.34,Muy baja
REV-0492,Toyota Corolla 2023,SUV,3.46,Alta
